model_filename,model_string,accuracy,precision,recall,f1,roc_auc
2153834124007332864.pkl,LogisticRegression(),0.8002624996416386,0.6483749589869564,0.5294964028776978,0.58248557578344,0.8388876815295555
1549978681758692096.pkl,LogisticRegression(max_iter=1000),0.7998837117628508,0.6474925437662711,0.5287769784172662,0.5816757878771199,0.8388571601609058
1289054018694105856.pkl,DecisionTreeClassifier(),0.7226418035606778,0.4704937194771369,0.4748201438848921,0.4808268196407312,0.6605325003076234
1146463669484237056.pkl,AdaBoostClassifier(),0.8000700596313178,0.6508801725502557,0.5208633093525179,0.5780535759980845,0.8449139650432042
2115072070668834304.pkl,GradientBoostingClassifier(),0.8059403758493163,0.6712950176531827,0.5158273381294963,0.5827258610019197,0.8445070747920014
1950965584397562624.pkl,RandomForestClassifier(),0.7798149422321607,0.5929476484678247,0.44964028776978415,0.5234028361665573,0.8101093843023729
2266049389248677376.pkl,"AdaBoostClassifier(learning_rate=0.1, n_estimators=270)",0.8040484074424471,0.6733134500373189,0.4971223021582733,0.5714800257162289,0.8464632301669447
