Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
STAR WARS Jedi Fallen Order,Very Positive,"15 Nov, 2019",Respawn Entertainment,Electronic Arts,Single-player,violence/bad_language,None,None,None,3499,None,"['Action', 'Adventure']",['windows'],['8 GB'],['55 GB'],[],None,41668,39796,1872,41668,38277,3391
New World,None,"25 Aug, 2020",Amazon Games,Amazon Games,MMO,violence/bad_language,None,None,None,1499,None,"['Action', 'Adventure', 'Massively Multiplayer', 'RPG']",['windows'],['8 GB'],['35 GB'],[],None,None,None,None,None,None,None
Batman Arkham Knight,Very Positive,"23 Jun, 2015",Rocksteady Studios,Warner Bros. Interactive Entertainment,Single-player,violence/bad_language,None,None,None,1899,None,"['Action', 'Adventure']",['windows'],['6 GB'],['45 GB'],[],None,56197,28884,27313,56197,42817,13380
Dota 2,Very Positive,"9 Jul, 2013",Valve,Valve,Steam Trading Cards,None,None,None,None,Free to Play,None,"['Action', 'Free to Play', 'Strategy']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['15 GB', '15 GB', '15 GB']",[],VR Support,1267502,14973,1252529,1267502,1078065,189437
Dying Light,Very Positive,"26 Jan, 2015",Techland,Techland Publishing,Single-player,violence/bad_language,None,None,None,1000,None,"['Action', 'RPG']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']",[],"['40 GB', '40 GB', '40 GB']",None,159115,116322,42793,159115,150176,8939
RESIDENT EVIL 2  BIOHAZARD RE2,Overwhelmingly Positive,"25 Jan, 2019","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",Single-player,violence/bad_language,1999,-50%,999,2499,None,['Action'],['windows'],['8 GB'],['26 GB'],[],None,67401,41021,26380,67401,65549,1852
Rocket League,Very Positive,"7 Jul, 2015",Psyonix LLC,Psyonix LLC,Single-player,Online Interactivity.,565,-50%,282,1718,None,"['Action', 'Indie', 'Racing', 'Sports']",['windows'],['4 GB'],['20 GB'],[],None,407358,297982,109376,407358,368713,38645
Halo The Master Chief Collection,Very Positive,"3 Dec, 2019",343 Industries,Xbox Game Studios,Single-player,None,None,None,None,899,None,['Action'],['windows'],[],[' 43 GB available space'],[],None,79854,73722,6132,79854,72994,6860
Sekiro Shadows Die Twice,Very Positive,"21 Mar, 2019",FromSoftware,Activision (Excluding Japan and Asia),Single-player,violence/bad_language,3999,-35%,2599,None,None,"['Action', 'Adventure']",['windows'],['4 GB'],['25 GB'],[],None,81562,55978,25584,81562,76598,4964
GTFO,Very Positive,"9 Dec, 2019",10 Chambers Collective,10 Chambers Collective,Online Co-op,None,None,None,None,759,None,"['Action', 'Early Access']",['windows'],['8 GB'],['15 GB'],[],None,11932,9767,2165,11932,10475,1457
