Game_Title,All_Review_Cat,Release_Date,Game_Developer,Game_Publisher,Player_Type,Has_Violence,Price_Original_Before_Discount,Discount_Percentage,Price_Discount,Price_Original,price_subscription,Genre_List,OS_List,Memory,Storage,Hard_Drive,VR_Support,Purchase_All,Purchase_Steam,Purchase_Other,Review_All,Review_Positive,Review_Negative
DONT DIE,Mostly Positive,"21 May, 2018",DEKLAZON,DEKLAZON,Single-player,None,None,None,None,42,None,['Action'],['windows'],['512 MB'],['200 MB'],[],None,29,24,5,29,23,6
Hidden  Dangerous 2 Courage Under Fire,Very Positive,"21 Oct, 2003",Illusion Softworks,2K,Single-player,None,None,None,None,640,None,"['Action', 'Strategy']",['windows'],[' 512 MB RAM'],[' 3 GB available space'],[],None,302,284,18,302,285,17
DEAD RISING,Very Positive,"13 Sep, 2016",Capcom,Capcom,Single-player,None,None,None,None,1199,None,"['Action', 'Adventure']",['windows'],['2 GB'],['8 GB'],[],None,2325,1823,502,2325,2059,266
Shoot Them,Mostly Positive,"3 Dec, 2019",Cтрельба,Cтрельба,Single-player,None,None,None,None,42,None,"['Action', 'Indie']",['windows'],[' 1024 MB RAM'],['500 MB'],[],None,44,32,12,44,34,10
Melty Blood Actress Again Current Code,Very Positive,"20 Apr, 2016",FRENCH-BREAD,Arc System Works,Single-player,None,None,None,None,619,None,['Action'],['windows'],[' 2 GB RAM'],[' 3 GB available space'],[],None,1771,1453,318,1771,1620,151
QUAKE II Mission Pack Ground Zero,Mixed,"1 Sep, 1998",Rogue Entertainment,id Software,Single-player,None,None,None,None,200,None,['Action'],[],[],[],[],None,122,105,17,122,75,47
House of the Dying Sun,Very Positive,"2 Nov, 2016","Marauder Interactive, LLC","Marauder Interactive, LLC",Single-player,None,None,None,None,565,None,"['Action', 'Indie', 'Simulation']",['windows'],['4 GB'],['2 GB'],[],VR Support,1273,1198,75,1273,1149,124
Raptor Call of The Shadows  2015 Edition,Mostly Positive,"1 Apr, 1994",Dotemu,Dotemu,Single-player,None,None,None,None,199,None,"['Action', 'Casual']",['windows'],[' 1 GB RAM'],[' 500 MB available space'],[],None,322,247,75,322,242,80
Quake IV,Very Positive,"18 Oct, 2005",RavenSoft / id Software,Bethesda Softworks,Single-player,None,None,None,None,565,None,['Action'],[],['512MB RAM'],[],[],None,1377,1048,329,1377,1174,203
METAL SLUG 3,Very Positive,"14 Feb, 2014",SNK CORPORATION,SNK CORPORATION,Single-player,None,None,None,None,349,None,['Action'],['windows'],['1 GB'],['500 MB'],[],None,6304,4501,1803,6304,5673,631
Bloodstained Curse of the Moon,Very Positive,"24 May, 2018","INTI CREATES CO., LTD.","INTI CREATES CO., LTD.",Single-player,None,None,None,None,399,None,['Action'],['windows'],[' 2 GB RAM'],[' 500 MB available space'],[],None,2474,1924,550,2474,2348,126
Full Metal Furies,Very Positive,"17 Jan, 2018",Cellar Door Games,Cellar Door Games,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'RPG']","['windows', 'mac']","['2 GB', '2 MB']","['900 MB', '900 MB']",[],None,1619,1150,469,1619,1488,131
Raiden IV OverKill,Very Positive,"3 Sep, 2015","Moss Co., Ltd.","H2 Interactive Co., Ltd.",Single-player,None,None,None,None,479,None,['Action'],['windows'],['2 GB'],['1 GB'],[],None,433,324,109,433,370,63
The Elder Scrolls IV Oblivion Game of the Year Edition,Very Positive,"11 Sep, 2007",Bethesda Game Studios,Bethesda Softworks,Single-player,None,None,None,None,565,None,['RPG'],['windows'],['512 MB'],[],['4.6 GB'],None,20486,16303,4183,20486,19496,990
Geometry Wars 3 Dimensions Evolved,Very Positive,"25 Nov, 2014",Lucid Games,Sierra,Single-player,Online Gameplay,None,None,None,990,None,['Action'],"['linux', 'windows']","['2 GB', '4 GB']","['1 GB', '1 GB']",[],None,1128,919,209,1128,1015,113
Outlaws of the Old West,Mixed,"12 Mar, 2019",Virtual Basement LLC,Wandering Wizard,Single-player,None,529,-50%,264,None,None,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Strategy', 'Early Access']",['windows'],[' 8 GB RAM'],['20 GB'],[],None,4378,3871,507,4378,2999,1379
Tree of Savior English Ver,Mixed,"28 Mar, 2016","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd.",MMO,None,None,None,None,Free to Play,None,"['Free to Play', 'Massively Multiplayer', 'RPG']",['windows'],['8 GB'],['32 GB'],[],None,17144,5645,11499,17144,10803,6341
Hybrid Wars,Mixed,"29 Sep, 2016",Extreme Developers,Wargaming Labs,Single-player,violence/bad_language,None,None,None,259,None,['Action'],"['linux', 'windows', 'mac']","['4 GB', '4 GB', '6 GB']","['12 GB', '12 GB', '12 GB']",[],None,179,111,68,179,115,64
Total War WARHAMMER  Chaos Warriors,Mixed,"24 May, 2016",CREATIVE ASSEMBLY,SEGA,Single-player,violence/bad_language,None,None,None,380,None,"['Action', 'Strategy']","['linux', 'windows', 'mac']","['3 GB', '8 GB', '8 GB']","['35 GB', '37 GB', '35 GB']",[],None,1338,900,438,1338,565,773
Total War WARHAMMER  Chaos Warriors,Mixed,"24 May, 2016",CREATIVE ASSEMBLY,SEGA,Single-player,violence/bad_language,None,None,None,380,None,"['Action', 'Strategy']","['linux', 'windows', 'mac']","['3 GB', '8 GB', '8 GB']","['35 GB', '37 GB', '35 GB']",[],None,1338,900,438,1338,565,773
Orcs Must Die,Overwhelmingly Positive,"11 Oct, 2011",Robot Entertainment,Robot Entertainment,Single-player,None,None,None,None,349,None,"['Action', 'Indie', 'Strategy']",['windows'],['2 GB'],[],['5 GB'],None,5918,4457,1461,5918,5722,196
Slap City,Overwhelmingly Positive,"5 Mar, 2018",Ludosity,Ludosity,Single-player,None,None,None,None,349,None,"['Action', 'Indie', 'Early Access']",['windows'],[' 1 GB RAM'],[' 1 GB available space'],[],None,2161,1891,270,2161,2055,106
Droid Assault,Very Positive,"9 Jan, 2013",Puppygames,Puppygames,Single-player,None,None,None,None,349,None,"['Action', 'Indie']","['linux', 'windows', 'mac']","['512 MB', '512 MB', '512 MB']",[],"['430 MB', '460 MB', '470 MB']",None,338,244,94,338,282,56
Xion,Mostly Positive,"29 Aug, 2018",Zenz VR,Zenz VR,Single-player,None,None,None,None,349,None,"['Action', 'Indie']",['windows'],['4 GB'],['100 MB'],[],VR Support,41,39,2,41,30,11
Guardians of the Ashes,Mostly Positive,"21 Feb, 2020",Mature Games,Mature Games,Single-player,None,None,None,None,125,None,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",['windows'],['4 GB'],['5 GB'],[],None,148,142,6,148,110,38
Shadow Warrior 2,Very Positive,"13 Oct, 2016",Flying Wild Hog,Devolver Digital,Single-player,None,None,None,None,849,None,"['Action', 'Adventure']",['windows'],['8 GB'],['14 GB'],[],None,14398,12015,2383,14398,12691,1707
Operation Thunderstorm,Mixed,"31 May, 2011",City Interactive S.A.,City Interactive S.A.,Single-player,None,None,None,None,199,None,['Action'],['windows'],['2 GB'],['2 GB'],[],None,126,107,19,126,83,43
NARUTO STORM 4  Road to Boruto Expansion,Mostly Positive,"3 Feb, 2017",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,Single-player,violence/bad_language,None,None,None,565,None,"['Action', 'Adventure']",['windows'],[' 2 GB RAM'],[' 40 MB available space'],[],None,481,431,50,481,364,117
PAYDAY 2 The Death Wish Update,Positive,"27 Feb, 2014",OVERKILL - a Starbreeze Studio.,505 Games,Single-player,None,None,None,None,None,None,"['Action', 'RPG']",['windows'],['2 GB'],[],['13 GB'],None,69,46,23,69,61,8
PAYDAY 2 The Election Day Heist,Positive,"21 Mar, 2014",OVERKILL - a Starbreeze Studio.,None,Single-player,None,None,None,None,None,None,"['Action', 'RPG']",['windows'],['2 GB'],[],['13 GB'],None,45,31,14,45,40,5
Flem,Positive,"28 Apr, 2015",Henchman & Goon,Henchman & Goon,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Indie']",['windows'],['1 GB'],['250 MB'],[],None,20,11,9,20,19,1
Aces Wild Manic Brawling Action,Very Positive,"8 Aug, 2013",Culture Attack Studio,Culture Attack Studio,Single-player,None,None,None,None,369,None,"['Action', 'Indie']",['windows'],[' 320 MB RAM'],[' 166 MB available space'],[],None,315,191,124,315,253,62
Hyper Simon X,Mostly Positive,"8 Aug, 2018",NukGames,NukGames,Single-player,None,None,None,None,42,None,"['Action', 'Indie']",['windows'],['512 MB'],['50 MB'],[],None,25,21,4,25,18,7
miniLAW Ministry of Law,Very Positive,"1 Jan, 2020","Lasso Games, LLC","Lasso Games, LLC",Single-player,None,None,None,None,459,None,"['Action', 'Indie']",['windows'],[],['80 MB'],[],None,129,118,11,129,109,20
Just Beat Em Up  World of Fury,Mostly Positive,"30 Aug, 2018",Zudenan Digital,Zudenan Digital,Single-player,None,None,None,None,159,None,"['Action', 'Indie']",['windows'],['700 MB'],['800 MB'],[],None,29,22,7,29,23,6
Hitman Blood Money,Very Positive,"30 May, 2006",Io-Interactive A/S,Io-Interactive A/S,Single-player,violence/bad_language,None,None,None,399,None,['Action'],[],[],[],[],None,7491,6263,1228,7491,7046,445
8Bit Commando,Mixed,"27 Jul, 2011",2dengine,2dengine,Single-player,None,None,None,None,165,None,"['Action', 'Indie']","['linux', 'windows', 'mac']","['1 GB', '2 GB', '1 GB']","['50 MB', '50 MB', '50 MB']",[],None,270,67,203,270,150,120
Pandemic Express  Zombie Escape,Mixed,"27 Sep, 2019",TALLBOYS,tinyBuild,Online PvP,None,None,None,None,Free to Play,None,"['Action', 'Indie', 'Massively Multiplayer']",['windows'],[' 8 GB RAM'],[' 9 GB available space'],[],None,3353,1787,1566,3353,2108,1245
Boomer Remover,7 user reviews,"18 Dec, 2019",RIVERSIDE SPORTS,RIVERSIDE SPORTS,Single-player,None,None,None,None,42,None,"['Action', 'Adventure']",['windows'],['4 GB'],['200 MB'],[],None,8,7,1,8,8,0
David,Mostly Positive,"14 Mar, 2014",Fermenter Games,Fermenter Games,Single-player,None,None,None,None,85,None,"['Action', 'Indie']","['windows', 'mac']","['2 GB', '2 GB']","['20 MB', '20 MB']",[],None,732,564,168,732,579,153
Fractured Lands,Mixed,"31 Jul, 2018",Unbroken Studios,Unbroken Studios,Online PvP,None,None,None,None,569,None,"['Action', 'Early Access']",['windows'],['6 GB'],['20 GB'],[],None,418,209,209,418,227,191
Crazy Archery,Mostly Positive,"22 Feb, 2019",RewindApp,RewindApp,Single-player,None,None,None,None,42,None,"['Action', 'Casual', 'Indie', 'Strategy']",['windows'],[' 2 GB RAM'],[' 150 MB available space'],[],None,17,17,0,17,13,4
Fable Anniversary,Very Positive,"12 Sep, 2014",Lionhead Studios,Xbox Game Studios,Single-player,violence/bad_language,None,None,None,769,None,['RPG'],['windows'],['3 GB'],['10 GB'],[],None,6689,5975,714,6689,5440,1249
Wells,Mostly Positive,"29 Jan, 2017",Tower Up Studios,Tower Up Studios,Single-player,None,None,None,None,165,None,"['Action', 'Indie']","['windows', 'mac']","['4 GB', '4 GB']","['4 GB', '4 GB']",[],None,101,74,27,101,76,25
A Moustache in the House,2 user reviews,"15 Jan, 2020",Games On Acidzz,Gambeat,Single-player,None,None,None,None,379,None,"['Action', 'Indie']",['windows'],[' 6 GB RAM'],[' 2 GB available space'],[],None,3,2,1,3,0,3
PixelJunk Shooter,Very Positive,"11 Nov, 2013",Double Eleven,Double Eleven,Single-player,None,None,None,None,359,None,['Action'],"['linux', 'windows', 'mac']","['2 GB', '2 GB', '2 GB']","['250 MB', '250 MB', '250 MB']",[],None,505,191,314,505,456,49
Caladrius Blaze,Mostly Positive,"12 Jan, 2017","Moss Co., Ltd.","H2 Interactive Co., Ltd.",Single-player,None,None,None,None,529,None,['Action'],['windows'],['2 GB'],['2 GB'],[],None,199,162,37,199,153,46
Anime Artist,Positive,"25 Jul, 2019",Neoclassic Games,Neoclassic Games,Single-player,None,None,None,None,85,None,"['Action', 'Adventure', 'Casual', 'Indie']",['windows'],['2 GB'],['300 MB'],[],None,52,43,9,52,45,7
Devil Slayer  Raksasi,Very Positive,"12 Nov, 2019",GlassesCatGames,GlassesCatGames,Single-player,None,None,None,None,380,None,"['Action', 'Adventure', 'Indie', 'Early Access']",['windows'],['4 GB'],['1 GB'],[],None,975,919,56,975,839,136
Titan Quest Anniversary Edition,Very Positive,"31 Aug, 2016",Iron Lore Entertainment,THQ Nordic,Single-player,violence/bad_language,None,None,None,699,None,"['Action', 'RPG']",['windows'],['1 GB'],['5 GB'],[],None,16669,13341,3328,16669,15185,1484
Lennas Inception,Very Positive,"17 Jan, 2020",Bytten Studio,Bytten Studio,Single-player,None,None,None,None,349,None,"['Action', 'Adventure', 'Indie', 'RPG']","['linux', 'windows']","['4096 MB', '4096 MB']","['500 MB', '500 MB']",[],None,94,77,17,94,83,11
Afterbern Democralypse,2 user reviews,"30 Nov, 2019",Left Turn Workshop LLC,Left Turn Workshop LLC,Single-player,None,None,None,None,199,None,['Action'],['windows'],['4 GB'],['3 GB'],[],None,2,2,0,2,1,1
All Of ZHEM,1 user reviews,"30 Mar, 2019",KOEX studio (choo bin yong),KOEX studio,Single-player,None,None,None,None,259,None,"['Action', 'Indie']",['windows'],[' 6 GB RAM'],[' 1 GB available space'],[],None,2,1,1,2,0,2
Atomik RunGunJumpGun,Very Positive,"31 Aug, 2016",ThirtyThree,Good Shepherd Entertainment,Single-player,None,None,None,None,349,None,"['Action', 'Indie']","['windows', 'mac']","['2 GB', '2 GB']","['1 GB', '1 GB']",[],None,217,193,24,217,194,23
Super Trashforce,Mostly Positive,"23 Nov, 2017",Crystal Box Team,Droid Riot,Single-player,None,None,None,None,125,None,"['Action', 'Adventure', 'Indie']",['windows'],[' 1024 MB RAM'],[' 200 MB available space'],[],None,27,14,13,27,17,10
Snowballs,Positive,"6 Dec, 2019",Funny Games,Funny Games,Single-player,None,None,None,None,42,None,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Early Access']",['windows'],['4 GB'],['1 GB'],[],None,16,13,3,16,15,1
Survival Classic,Mostly Positive,"19 Feb, 2020",TB Games,TB Games,Online PvP,None,None,None,None,349,None,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Early Access']",['windows'],[' 4096 MB RAM'],[' 3500 MB available space'],[],None,59,47,12,59,42,17
Deadfall Adventures,Mostly Positive,"15 Nov, 2013",The Farm 51,THQ Nordic,Single-player,violence/bad_language,None,None,None,699,None,"['Action', 'Adventure']",['windows'],['2 GB'],[],['6.5 GB'],None,2148,1006,1142,2148,1564,584
Dead Rising 2,Mostly Positive,"27 Sep, 2010",Capcom Vancouver,Capcom,Single-player,None,None,None,None,1199,None,"['Action', 'Adventure']",['windows'],['2 GB'],[],['8.5 GB'],None,4269,2993,1276,4269,3234,1035
Mobile Astro,Mostly Positive,"16 Dec, 2016",Raxasoft Games,Raxasoft Games,Single-player,None,None,None,None,Free to Play,None,"['Action', 'Indie']",['windows'],[' 256 MB RAM'],[' 37 MB available space'],[],None,93,4,89,93,71,22
Prospekt,Mixed,"18 Feb, 2016",Richard Seabrook,Richard Seabrook,Single-player,None,None,None,None,369,None,['Action'],['windows'],['1 GB'],['12 GB'],[],None,1257,1161,96,1257,769,488
VASARA Collection,Very Positive,"13 Aug, 2019",QUByte Interactive,QUByte Interactive,Single-player,None,None,None,None,349,None,"['Action', 'Indie']",['windows'],['4 GB'],['4 GB'],[],None,63,53,10,63,55,8
Delta Force,Very Positive,"30 Sep, 1998",NovaLogic,NovaLogic,Single-player,None,None,None,None,259,None,['Action'],[],[],[],[],None,308,294,14,308,278,30
Until You Fall,Very Positive,"27 Aug, 2019",Schell Games,Schell Games,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'Early Access']",['windows'],['8 GB'],['4 GB'],[],VR Support,598,563,35,598,567,31
GROUND BRANCH,Very Positive,"14 Aug, 2018",BlackFoot Studios,BlackFoot Studios,Single-player,None,None,None,None,529,None,"['Action', 'Indie', 'Simulation', 'Early Access']",['windows'],['4 GB'],['30 GB'],[],None,1420,1174,246,1420,1190,230
Hocus Pocus,Very Positive,"1 Jun, 1994",Moonlite Software,3D Realms (Apogee Software),Single-player,None,None,None,None,259,None,"['Action', 'Adventure']","['windows', 'mac']",[' 2 GB RAM'],[],[],None,82,55,27,82,71,11
Bug Fables The Everlasting Sapling,Overwhelmingly Positive,"21 Nov, 2019",Moonsprout Games,DANGEN Entertainment,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'RPG']",['windows'],[' 1 GB RAM'],[' 300 MB available space'],[],None,817,689,128,817,809,8
Merger 3D,Mostly Negative,"29 Sep, 2016",Mahhaon,Sometimes You,Single-player,None,None,None,None,125,None,"['Action', 'Indie']",['windows'],[' 16 MB RAM'],[' 10 MB available space'],[],None,157,41,116,157,67,90
Dishonored  The Knife of Dunwall,Very Positive,"16 Apr, 2013",Arkane Studios,Bethesda Softworks,Single-player,None,None,None,None,350,None,"['Action', 'Adventure']",['windows'],['3 GB'],[],[],None,448,359,89,448,413,35
Knights And Bikes,Very Positive,"27 Aug, 2019",Foam Sword,Double Fine Presents,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie']","['linux', 'windows', 'mac']","['4 GB', '4 GB', '4 GB']","['6 GB', '6 GB', '6 GB']",[],None,192,104,88,192,186,6
BATTLETECH Heavy Metal,Mixed,"21 Nov, 2019",Harebrained Schemes,Paradox Interactive,Single-player,violence/bad_language,None,None,None,529,None,"['Action', 'Adventure', 'Strategy']","['linux', 'windows', 'mac']","['8 GB', '8 GB', '8 GB']","['35 GB', '35 GB', '35 GB']",[],None,98,88,10,98,65,33
Paperball,Positive,"27 Mar, 2020",Cliax Games,Cliax Games,Single-player,None,None,None,None,399,None,"['Action', 'Indie']",['windows'],[' 1 GB RAM'],[' 1 GB available space'],[],None,48,47,1,48,47,1
PAYDAY 2 Gage Weapon Pack 01,Mixed,"5 Dec, 2013",OVERKILL - a Starbreeze Studio.,505 Games,Single-player,None,None,None,None,58,None,"['Action', 'RPG']",['windows'],['2 GB'],[],['13 GB'],None,624,518,106,624,436,188
Space Invaders Extreme,Very Positive,"12 Feb, 2018",TAITO CORP.,Degica,Single-player,None,None,None,None,529,None,['Action'],['windows'],[' 4 GB RAM'],[' 600 MB available space'],[],None,87,82,5,87,80,7
Nightmare Reaper,Very Positive,"16 Jul, 2019",Blazing Bit Games,Blazing Bit Games,Single-player,None,None,None,None,519,None,"['Action', 'Indie', 'Early Access']",['windows'],['2 GB'],['2 GB'],[],None,289,273,16,289,281,8
RUNNING WITH RIFLES PACIFIC,Mostly Positive,"26 Oct, 2017",Osumia Games,None,Single-player,None,None,None,None,349,None,"['Action', 'Indie']","['windows', 'mac']","['2 GB', '2 GB']","['800 MB', '800 MB']",[],None,152,147,5,152,113,39
DOOM VFR,Mixed,"1 Dec, 2017",id Software,Bethesda Softworks,Single-player,violence/bad_language,None,None,None,2000,None,['Action'],['windows'],['8 GB'],['17 GB'],[],VR Support,1823,1306,517,1823,1055,768
Vacation Simulator,Very Positive,"9 Apr, 2019",Owlchemy Labs,Owlchemy Labs,Single-player,None,None,None,None,699,None,"['Action', 'Adventure', 'Simulation']",['windows'],['4 GB'],['4 GB'],[],VR Support,381,354,27,381,351,30
Hot Lava,Very Positive,"19 Sep, 2019",Klei Entertainment,Klei Entertainment,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'Racing']",['windows'],['4 GB'],['10 GB'],[],None,2376,1915,461,2376,2229,147
Ring Runner Flight of the Sages,Very Positive,"9 Jul, 2013",Triple.B.Titles,Triple.B.Titles,Single-player,None,None,None,None,259,None,"['Action', 'Indie', 'RPG']",['mac'],[' 1 GB RAM'],[' 250 MB available space'],[],None,731,522,209,731,614,117
Angels Fall First,Very Positive,"1 Oct, 2015",Strangely Interactive Ltd,Strangely Interactive Ltd,Single-player,None,None,None,None,499,None,"['Action', 'Indie', 'Simulation', 'Early Access']",['windows'],['4 GB'],['10 GB'],[],None,2079,1942,137,2079,1712,367
Late For Work,Positive,"12 Jul, 2017",Salmi Games,Salmi Games,Single-player,None,None,None,None,459,None,"['Action', 'Indie']",['windows'],[' 8 GB RAM'],[' 1 GB available space'],[],VR Support,50,46,4,50,47,3
Zengeon,Mostly Positive,"24 Jun, 2019",IndieLeague Studio,2P Games,Single-player,None,None,None,None,329,None,"['Action', 'Adventure', 'Indie', 'RPG']","['windows', 'mac']","['4 GB', '2 GB']","['3 GB', '3 GB']",[],None,1253,1047,206,1253,953,300
Blazing Chrome,Very Positive,"11 Jul, 2019",JoyMasher,The Arcade Crew,Single-player,None,None,None,None,489,None,"['Action', 'Indie']",['windows'],['2 GB'],['200 MB'],[],None,645,449,196,645,590,55
KILL la KILL IF,Mixed,"26 Jul, 2019",Arc System Works,Arc System Works,Single-player,None,None,None,None,1000,None,['Action'],['windows'],[' 4 GB RAM'],[' 16 GB available space'],[],None,363,295,68,363,245,118
Dead by Daylight  Leatherface,Very Positive,"14 Sep, 2017",Behaviour Digital Inc.,Behaviour Digital Inc.,Online PvP,None,None,None,None,199,None,['Action'],['windows'],['8 GB'],['15 GB'],[],None,1420,1277,143,1420,1193,227
Ballistic Craft,Positive,"13 Feb, 2020",Palladium Soft,"GameTomo Co., Ltd.",Single-player,None,None,None,None,399,None,"['Action', 'Indie']",['windows'],['4 GB'],['1 GB'],[],None,46,35,11,46,44,2
Ballistic Craft,Positive,"13 Feb, 2020",Palladium Soft,"GameTomo Co., Ltd.",Single-player,None,None,None,None,399,None,"['Action', 'Indie']",['windows'],['4 GB'],['1 GB'],[],None,46,35,11,46,44,2
Prince of Persia The Forgotten Sands,Mixed,"10 Jun, 2010",Ubisoft Montreal,Ubisoft,Single-player,None,None,None,None,499,None,"['Action', 'Adventure']",['windows'],['1 GB'],[],['8 GB'],None,928,846,82,928,622,306
Alphadia Genesis,Very Positive,"12 Jan, 2015",EXE-CREATE,KEMCO,Single-player,None,None,None,None,369,None,"['Action', 'Adventure', 'RPG']",['windows'],['2 GB'],['5 GB'],[],None,110,70,40,110,91,19
Guts and Glory,Very Positive,"19 Jul, 2018",HakJak,tinyBuild,Single-player,None,None,None,None,459,None,"['Action', 'Casual', 'Indie', 'Racing']","['linux', 'windows', 'mac']","['2 GB', '2 GB', '2 GB']","['6 GB', '6 GB', '6 GB']",[],None,1519,1076,443,1519,1237,282
Formata,Mixed,"8 Dec, 2017",Nezon Production,Nezon Production,Single-player,None,None,None,None,349,None,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",['windows'],['4 GB'],['11 GB'],[],None,548,524,24,548,371,177
SUPER FLAIL,3 user reviews,"3 Aug, 2018",CryptMade,PsychoFlux Entertainment,Single-player,None,None,None,None,Free,None,"['Action', 'Casual', 'Free to Play', 'Indie']",['windows'],[' 1 GB RAM'],[' 20 MB available space'],[],None,124,3,121,124,116,8
Shadwen,Mostly Positive,"17 May, 2016",Frozenbyte,Frozenbyte,Single-player,None,None,None,None,549,None,"['Action', 'Adventure']","['windows', 'mac']","['4 GB', '4 GB']","['6 GB', '3 GB']",[],None,929,745,184,929,713,216
Big Tower Tiny Square,Very Positive,"5 Feb, 2018",Evil Objective,EO Interactive,Single-player,None,None,None,None,42,None,"['Action', 'Adventure', 'Indie']",['windows'],[' 2 GB RAM'],[' 200 MB available space'],[],None,61,52,9,61,52,9
LEGO Star Wars III  The Clone Wars,Very Positive,"23 Mar, 2011",Traveller's Tales,LucasArts,Single-player,violence/bad_language,None,None,None,529,None,"['Action', 'Adventure']",['windows'],['512 MB'],[],[],None,1971,1661,310,1971,1786,185
Strike Vector,Mixed,"28 Jan, 2014",Ragequit Corporation,Ragequit Corporation,Single-player,None,None,None,None,409,None,"['Action', 'Indie']",['windows'],['2 GB'],['5000 MB'],[],None,2288,1613,675,2288,1540,748
Strike Vector,Mixed,"28 Jan, 2014",Ragequit Corporation,Ragequit Corporation,Single-player,None,None,None,None,409,None,"['Action', 'Indie']",['windows'],['2 GB'],['5000 MB'],[],None,2288,1613,675,2288,1540,748
STAY COOL KOBAYASHISAN A RIVER CITY RANSOM STORY,Positive,"7 Nov, 2019",Arc System Works,Arc System Works,Single-player,None,None,None,None,439,None,['Action'],['windows'],[' 8 GB RAM'],[' 1 GB available space'],[],None,12,10,2,12,9,3
Handsome Jack Doppelganger Pack,Very Positive,"11 Nov, 2014",2K Australia,2K,Single-player,violence/bad_language,None,None,None,499,None,"['Action', 'RPG']","['linux', 'windows']","['2048 MB', '4 GB']","['412 MB', '13 GB']",[],None,361,292,69,361,326,35
Psyvariar Delta,Positive,"30 Jan, 2019",CITY CONNECTION,CITY CONNECTION,Single-player,None,None,None,None,699,None,['Action'],['windows'],[' 8 GB RAM'],[' 900 MB available space'],[],None,24,22,2,24,21,3
Battle Royale Trainer,Mixed,"4 Jan, 2018",Trickjump Games Ltd,Trickjump Games Ltd,Single-player,None,None,None,None,219,None,"['Action', 'Adventure', 'Simulation']",['windows'],[' 6 GB RAM'],[' 2 GB available space'],[],None,1607,1533,74,1607,927,680
Battlerite,Very Positive,"8 Nov, 2017",Stunlock Studios,Stunlock Studios,Single-player,None,None,None,None,Free To Play,None,"['Action', 'Free to Play']",['windows'],[' 4 GB RAM'],[' 3000 MB available space'],[],None,53287,21318,31969,53287,44725,8562
The Lord of the Rings Online,Very Positive,"6 Jun, 2012","Standing Stone Games, LLC","Standing Stone Games, LLC",MMO,violence/bad_language,None,None,None,Play for Free,None,"['Free to Play', 'Massively Multiplayer', 'RPG']",['windows'],['1GB (2GB'],[],[],None,10345,161,10184,10345,8308,2037
ZAR,Positive,"1 Jan, 1998",Maddox Games,Nightdive Studios,Single-player,None,None,None,None,299,None,['Action'],"['linux', 'windows']","['512 MB', '512 MB']","['800 MB', '800 MB']",[],None,49,22,27,49,34,15
Return to Castle Wolfenstein,Very Positive,"20 Nov, 2001",Gray Matter Studios,Bethesda-Softworks,Single-player,None,None,None,None,350,None,['Action'],[],[],[],[],None,4213,3633,580,4213,3878,335
Arma 3 Creator DLC Global Mobilization  Cold War Germany,Mixed,"29 Apr, 2019",Vertexmacht,Bohemia Interactive,Single-player,violence/bad_language,1399,-33%,937,None,None,"['Action', 'Simulation', 'Strategy']",[],[],[],[],None,1049,978,71,1049,513,536
Conflict Denied Ops,Mixed,"8 Feb, 2008",Pivotal Games,Square Enix,Single-player,violence/bad_language,None,None,None,299,None,['Action'],[],['2 GB'],[],[],None,231,199,32,231,115,116
Heroine Anthem Zero 2  Scars of Memories,Very Positive,"5 Jun, 2019",WindThunder Studio,Skywalker HK,Single-player,None,None,None,None,379,None,"['Action', 'Adventure', 'RPG', 'Early Access']",['windows'],[' 8 GB RAM'],[' 20 GB available space'],[],None,115,110,5,115,110,5
The Warhorn,Mixed,"29 Jan, 2019",Pigeons Interactive,Pigeons Interactive,Single-player,None,529,-40%,317,None,None,"['Action', 'Adventure', 'Indie', 'RPG', 'Early Access']",['windows'],['6 GB'],['11 GB'],[],None,208,167,41,208,142,66
HeXen II,Very Positive,"27 Mar, 1998",Raven Software,id Software,Single-player,None,None,None,None,259,None,['Action'],[],[],[],[],None,261,241,20,261,216,45
Crimsonland,Very Positive,"11 Jun, 2014",10tons Ltd,10tons Ltd,Single-player,violence/bad_language,None,None,None,459,None,"['Action', 'Indie', 'RPG']","['linux', 'windows']","['512 MB', '512 MB']","['200 MB', '200 MB']",[],None,2062,1333,729,2062,1887,175
SILICON RISING,Mostly Positive,"14 Feb, 2020",KUKRGAME,KUKRGAME,Single-player,None,None,None,None,529,None,"['Action', 'Adventure', 'Indie', 'Racing', 'RPG', 'Simulation', 'Sports', 'Early Access']","['windows', 'mac']","['8 GB', '16 GB']","['20 GB', '20 GB']",[],VR Support,65,48,17,65,51,14
